Date,soy_usd,usdbrl,beta,predicted,residual,z_score,signal,position,days_held
2024-03-18,1187.75,4.968047142028809,-0.00014019402163774165,4.964113279067328,0.003933862961480905,0.040018261710619805,0,0,0
2024-03-19,1185.5,5.029399871826172,-0.00015720543480933206,4.9657492798466,0.06365059197957201,0.6653283842342228,0,0,0
2024-03-20,1209.5,5.03000020980835,-0.00017351876822137348,4.963179175707673,0.06682103410067697,0.713552713866479,0,0,0
2024-03-21,1212.0,4.96619987487793,-0.00018773084714032408,4.963607796863815,0.0025920780141150956,0.028321729070395617,0,0,0
2024-03-22,1192.5,4.974500179290772,-0.0001958090787627253,4.967247951119923,0.007252228170849584,0.08115287073001039,0,0,0
2024-03-25,1209.25,5.000899791717529,-0.00020693601560911002,4.9639711239266955,0.03692866779083381,0.42875687407177865,0,0,0
2024-03-26,1199.0,4.9721999168396,-0.00021959510750486048,4.966720232464402,0.005479684375197635,0.06555757360257146,0,0,0
2024-03-27,1192.5,4.9756999015808105,-0.00023209025603683194,4.968854119678316,0.006845781902494963,0.08395761891278068,0,0,0
2024-03-28,1191.5,4.990300178527832,-0.00024439770938452826,4.96987986006216,0.02042031846567216,0.25581335747100575,0,0,0
2024-04-01,1185.75,5.013199806213379,-0.0002559361104942199,4.972185699064661,0.041014107148718004,0.5228521072427328,0,0,0
2024-04-02,1174.0,5.053599834442139,-0.000269303677479373,4.976718257546373,0.07688157689576602,0.993060025812154,0,0,0
2024-04-03,1182.25,5.06440019607544,-0.00028453729024583357,4.976413612018911,0.08798658405652926,1.1468721630442396,0,0,0
2024-04-04,1180.0,5.038599967956543,-0.0003001195634817816,4.979071658455897,0.059528309500645804,0.7829240920424212,0,0,0
2024-04-05,1185.0,5.057400226593018,-0.0003145404435517241,4.979169857690129,0.07823036890288826,1.0410750406083475,0,0,0
2024-04-08,1181.5,5.054900169372559,-0.00032649844095511405,4.981769522876364,0.07313064649619427,0.9791415254788786,0,0,0
2024-04-09,1174.5,5.023900032043457,-0.0003392123974052474,4.985633098020049,0.038266934023408083,0.5169926493775355,0,0,0
2024-04-10,1164.75,5.007599830627441,-0.0003518803033724163,4.990412291569208,0.017187539058233448,0.23522108706789507,0,0,0
2024-04-11,1159.25,5.066199779510498,-0.00036072307135852154,4.9933695246275365,0.07283025488296158,1.00339541237219,0,0,0
2024-04-12,1174.0,5.090400218963623,-0.00036755289108471263,4.98919009847712,0.10121012048650346,1.392819495530575,0,0,0
2024-04-15,1158.25,5.117099761962891,-0.00037609327250580143,4.996574098281314,0.12052566368157702,1.6544332756127562,0,0,0
2024-04-16,1145.0,5.183700084686279,-0.0003858907592340001,5.003596318735138,0.18010376595114153,2.4611394262593222,-1,-1,0
2024-04-17,1149.5,5.2855000495910645,-0.00040206457755561373,5.005041538310181,0.2804585112808837,3.7970345655278344,-1,-1,0
2024-04-18,1134.25,5.232600212097168,-0.000426073351047669,5.016267865896367,0.21633234620080088,2.864690577367863,0,-1,1
2024-04-19,1150.5,5.241700172424316,-0.00045250283624029774,5.013804708262244,0.22789546416207251,3.0183880938958243,0,-1,2
2024-04-22,1161.0,5.206200122833252,-0.00047578799905828237,5.012868611570957,0.1933315112622953,2.5461182601609584,0,-1,3
2024-04-23,1167.5,5.1656999588012695,-0.0004950276354246923,5.012690858326047,0.15300910047522276,2.0123225114883363,0,-1,4
2024-04-24,1166.0,5.130499839782715,-0.0005096258296243399,5.015588878673147,0.114910961109568,1.512445023926397,0,-1,5
2024-04-25,1162.75,5.145500183105469,-0.0005225677163148014,5.018961787182434,0.12653839592303484,1.6759513667644594,0,-1,6
2024-04-26,1159.5,5.158599853515625,-0.0005351543434328675,5.022449605251063,0.13615024826456157,1.810068887037892,0,-1,7
2024-04-29,1160.75,5.115499973297119,-0.0005468272921171986,5.023663942768292,0.09183603052882727,1.2179761977646468,0,-1,8
2024-04-30,1145.5,5.117000102996826,-0.0005573901722449674,5.033622195870574,0.08337790712625193,1.1085558612121964,0,-1,9
2024-05-01,1155.75,5.193900108337402,-0.0005670911060268336,5.029260890575671,0.16463921776173152,2.1946372174523465,-1,-1,0
2024-05-02,1190.0,5.194399833679199,-0.0005836221188111404,5.011752395155047,0.18264743852415233,2.438409786428029,0,-1,1
2024-05-03,1201.75,5.110300064086914,-0.0005970863859875646,5.006511809019537,0.10378825506737677,1.3782697201479668,0,-1,2
2024-05-06,1234.75,5.070899963378906,-0.0006081509990332352,4.987470795523912,0.08342916785499455,1.1110478790064906,0,-1,3
2024-05-07,1232.25,5.074900150299072,-0.0006160379972300269,4.98947443047001,0.085425719829062,1.1394873093518876,0,-1,4
2024-05-08,1212.75,5.073299884796143,-0.0006258475560746613,5.002112583991604,0.07118730080453872,0.9552358362678856,0,-1,5
2024-05-09,1192.75,5.087900161743164,-0.0006336769239132721,5.01528586116639,0.07261430057677387,0.9780735046154028,0,-1,6
2024-05-10,1205.0,5.1407999992370605,-0.0006405657904519842,5.008139811649326,0.13266018758773424,1.7883656112004214,0,-1,7
2024-05-13,1205.5,5.123260021209717,-0.0006481097446732607,5.0087999819829365,0.11446003922678027,1.535940425827621,0,-1,8
2024-05-14,1199.0,5.154200077056885,-0.0006531568407589941,5.013832384993569,0.14036769206331545,1.875799754084707,0,-1,9
2024-05-15,1213.5,5.127799987792969,-0.0006576221727279566,5.005382452633832,0.122417535159137,1.624810659255968,1,0,0
2024-05-16,1216.25,5.133600234985352,-0.0006614215560709474,5.00431944966661,0.1292807853187412,1.7071062232082361,0,0,0
2024-05-17,1228.0,5.128600120544434,-0.0006652041226974542,4.997290909775475,0.13130921076895863,1.7239996997797586,0,0,0
2024-05-20,1248.0,5.102000236511231,-0.0006684295302540281,4.984596696628264,0.11740353988296715,1.5325930880995653,0,0,0
2024-05-21,1236.25,5.103099822998047,-0.0006715335456364687,4.992815302729533,0.11028452026851365,1.4356579379393577,0,0,0
2024-05-22,1246.25,5.1219000816345215,-0.000674113554594671,4.9865500833128324,0.13534999832168904,1.7553368309273776,0,0,0
2024-05-23,1239.25,5.151100158691406,-0.0006768252043110989,4.991819437265967,0.15928072142543925,2.0540740220672915,-1,-1,0
2024-05-24,1248.0,5.143099784851074,-0.0006801921846351845,4.986604294187636,0.15649549066343837,2.00178969009303,0,-1,1
2024-05-28,1229.5,5.17170000076294,-0.0006842918658978739,4.99965375811016,0.17204624265278046,2.191768312035071,0,-1,2
2024-05-29,1214.0,5.161300182342529,-0.0006882124421949452,5.011016041851003,0.15028414049152605,1.898955623924191,0,-1,3
2024-05-30,1209.75,5.202099800109863,-0.0006924974072885037,5.014582561968707,0.18751723814115628,2.3576659730056284,0,-1,4
2024-05-31,1205.0,5.202099800109863,-0.0006993495518367705,5.018753031136737,0.1833467689731263,2.290903201580961,0,-1,5
2024-06-03,1184.5,5.244400024414063,-0.0007068116268682404,5.034260772687747,0.2101392517263161,2.606283315849691,0,-1,6
2024-06-04,1179.0,5.249000072479248,-0.0007153249091060467,5.039817007204641,0.2091830652746074,2.5613214035427254,0,-1,7
2024-06-05,1177.25,5.287700176239014,-0.0007235906399491997,5.0428293727018465,0.24487080353716717,2.960121476319714,0,-1,8
2024-06-06,1200.0,5.3003997802734375,-0.0007331230052089284,5.028228997153668,0.27217078311976994,3.2344192904569473,0,-1,9
2024-06-07,1179.25,5.2571001052856445,-0.0007418585735119167,5.045465392418798,0.21163471286684654,2.464455417374344,-1,-1,0
2024-06-10,1188.25,5.270441055297852,-0.0007507507208920064,5.040434846660177,0.23000620863767463,2.6473411068087405,0,-1,1
2024-06-11,1178.0,5.352799892425537,-0.0007579654277098535,5.049962185088155,0.3028377073373818,3.4386474604215422,0,-1,2
2024-06-12,1177.25,5.3649001121521,-0.0007684778676288217,5.053016270709005,0.31188384144309467,3.461516559896091,0,-1,3
2024-06-13,1189.5,5.401000022888184,-0.0007791109713116135,5.0460314348443704,0.35496858804381315,3.8500934260695696,-1,-1,0
2024-06-14,1179.75,5.361599922180176,-0.0007887123925604443,5.0562711309511,0.3053287912290754,3.2197725045203733,0,-1,1
2024-06-17,1157.75,5.357200145721436,-0.0007984674556779287,5.076191285227128,0.2810088604943086,2.9044298781289712,0,-1,2
2024-06-18,1174.0,5.423999786376953,-0.0008077828735725312,5.0655602571618275,0.3584395292151257,3.6457500879802764,-1,-1,0
2024-06-20,1155.25,5.422399997711182,-0.0008212776998549779,5.083890005369076,0.33850999234210555,3.3557042120063287,0,-1,1
2024-06-21,1160.5,5.452400207519531,-0.000833406658226068,5.082573391030085,0.3698268164894465,3.5879209738864515,-1,-1,0
2024-06-24,1175.25,5.426126003265381,-0.0008465395065727437,5.073298719956119,0.35282728330926183,3.3395288825966913,0,-1,1
2024-06-25,1163.25,5.3892998695373535,-0.0008601545652052299,5.086445775863812,0.30285409367354177,2.8051505674834623,0,-1,2
2024-06-26,1162.75,5.450699806213379,-0.0008701565537647367,5.089387238584452,0.36131256762892683,3.296186100886627,0,-1,3
2024-06-27,1152.25,5.522500038146973,-0.0008834643996975797,5.101755584095091,0.42074445405188143,3.758718801488506,-1,-1,0
2024-06-28,1150.5,5.500500202178955,-0.0009056683252760134,5.107623669052721,0.39287653312623405,3.416464834778953,0,-1,1
2024-07-01,1159.5,5.591899871826172,-0.0009362323478479135,5.104112086877279,0.4877877849488925,4.155957246731469,-1,-1,0
2024-07-02,1165.0,5.65500020980835,-0.0009638690341848368,5.103684715889518,0.5513154939188318,4.546594334076185,-1,-1,0
2024-07-03,1176.5,5.67549991607666,-0.0009983951073815889,5.09768293311902,0.5778169829576401,4.588101534695198,-1,-1,0
2024-07-05,1188.5,5.486400127410889,-0.0010303311237679666,5.090241590791191,0.3961585366196978,3.0256538756784996,0,-1,1
2024-07-08,1174.25,5.471290111541748,-0.0010553027380426924,5.108346150204257,0.36294396133749096,2.7286903248580137,0,-1,2
2024-07-09,1161.5,5.470399856567383,-0.001080976674402348,5.125529446012104,0.3448704105552789,2.55925729301883,0,-1,3
2024-07-10,1141.25,5.417099952697754,-0.001113828943501886,5.152274100904516,0.2648258517932378,1.9459663057026777,0,-1,4
2024-07-11,1142.75,5.414700031280518,-0.0011363381714183443,5.154075376412356,0.26062465486816144,1.9025147980312287,0,-1,5
2024-07-12,1134.5,5.438000202178955,-0.001160305482548891,5.167232779694835,0.2707674224841199,1.9643368381206312,0,-1,6
2024-07-15,1078.0,5.422800064086914,-0.0011807624362624937,5.237455904772105,0.18534415931480908,1.3348172215467848,0,-1,7
2024-07-16,1090.5,5.446800231933594,-0.0011991270694298578,5.2264423780136315,0.2203578539199622,1.581638837874827,0,-1,8
2024-07-17,1097.25,5.424300193786621,-0.0012226245951214166,5.222788255474115,0.2015119383125059,1.4399233431579535,0,-1,9
2024-07-18,1098.5,5.48769998550415,-0.0012450492737294452,5.225356703044489,0.26234328245966143,1.8679814506417314,1,0,0
2024-07-19,1097.25,5.5432000160217285,-0.0012710507800485192,5.231854238076742,0.31134577794498686,2.202685844939076,-1,-1,0
2024-07-22,1117.75,5.520872116088867,-0.0013037144145153184,5.21118929234443,0.30968282374443756,2.1717928757789644,0,-1,1
2024-07-23,1117.5,5.570700168609619,-0.0013368861362488243,5.216857476898606,0.3538426917110131,2.4611168468649134,0,-1,2
2024-07-24,1111.0,5.585299968719482,-0.001366165837226371,5.230900424263517,0.35439954445596555,2.4365236917983406,0,-1,3
2024-07-25,1116.0,5.653600215911865,-0.0014092596540594953,5.230781623392604,0.42281859251926157,2.877377752614175,0,-1,4
2024-07-26,1077.5,5.643099784851074,-0.0014534221277625109,5.29387687002559,0.34922291482548395,2.3407557065969646,0,-1,5
2024-07-29,1054.75,5.622840881347656,-0.0014913456272870923,5.335422256844531,0.2874186245031254,1.9065321524082517,0,-1,6
2024-07-30,1027.25,5.614500045776367,-0.0015181264467272891,5.383516674278537,0.23098337149783,1.5214980105106382,0,-1,7
2024-07-31,1028.5,5.611100196838379,-0.0015429710036189237,5.38795421869,0.2231459781483789,1.4633487842005157,0,-1,8
2024-08-01,1022.0,5.656599998474121,-0.0015712326522058406,5.404977399223393,0.2516225992507284,1.64337402637568,0,-1,9
2024-08-02,1029.25,5.75059986114502,-0.0016054501039380093,5.401609852199439,0.34899000894558174,2.2679046242295,-1,-1,0
