Date,soy_usd,usdbrl
2010-12-29,1366.0,1.6901999711990356
2010-12-30,1366.0,1.6779999732971191
2010-12-31,1393.75,1.6619999408721924
2011-01-03,1370.25,1.6154999732971191
2011-01-04,1361.0,1.6464999914169312
2011-01-05,1386.0,1.6675000190734863
2011-01-06,1369.5,1.6749999523162842
2011-01-07,1357.75,1.6858999729156494
2011-01-10,1373.25,1.6354999542236328
2011-01-11,1350.5,1.6890000104904175
2011-01-12,1409.0,1.6416000127792358
2011-01-13,1410.0,1.6246999502182007
2011-01-14,1406.5,1.6690000295639038
2011-01-18,1413.25,1.6821000576019287
2011-01-19,1411.5,1.6714999675750732
2011-01-20,1414.25,1.6699999570846558
2011-01-21,1412.25,1.635200023651123
2011-01-24,1404.5,1.6193000078201294
2011-01-25,1374.5,1.6705000400543213
2011-01-26,1385.5,1.6677000522613525
2011-01-27,1399.5,1.618299961090088
2011-01-28,1398.0,1.6722999811172485
2011-01-31,1413.0,1.6342999935150146
2011-02-01,1438.0,1.6670000553131104
2011-02-02,1444.0,1.6651999950408936
2011-02-03,1435.5,1.6627000570297241
2011-02-04,1433.5,1.6684000492095947
2011-02-07,1424.5,1.6241999864578247
2011-02-08,1434.25,1.6279000043869019
2011-02-09,1451.0,1.6644999980926514
2011-02-10,1433.0,1.6619999408721924
2011-02-11,1416.0,1.6641000509262085
2011-02-14,1402.75,1.6154999732971191
2011-02-15,1368.0,1.6664999723434448
2011-02-16,1366.0,1.6685999631881714
2011-02-17,1404.5,1.6690000295639038
2011-02-18,1368.0,1.6619999408721924
2011-02-22,1298.0,1.6675000190734863
2011-02-23,1320.0,1.670699954032898
2011-02-24,1318.25,1.6710000038146973
2011-02-25,1365.5,1.6627000570297241
2011-02-28,1357.25,1.659999966621399
2011-03-01,1367.5,1.6588000059127808
2011-03-02,1387.25,1.6574000120162964
2011-03-03,1405.5,1.6541999578475952
2011-03-04,1407.75,1.6495000123977661
2011-03-07,1387.75,1.6398999691009521
2011-03-08,1375.5,1.6520999670028687
2011-03-09,1344.0,1.6540000438690186
2011-03-10,1348.75,1.6547000408172607
2011-03-11,1326.5,1.659000039100647
2011-03-14,1329.0,1.6561000347137451
2011-03-15,1270.0,1.6648999452590942
2011-03-16,1287.0,1.6632000207901
2011-03-17,1335.25,1.6759999990463257
2011-03-18,1362.5,1.6794999837875366
2011-03-21,1363.0,1.663699984550476
2011-03-22,1365.5,1.663599967956543
2011-03-23,1351.25,1.6592999696731567
2011-03-24,1354.5,1.659999966621399
2011-03-25,1358.25,1.6575000286102295
2011-03-28,1348.5,1.649899959564209
2011-03-29,1361.5,1.659999966621399
2011-03-30,1372.0,1.655900001525879
2011-03-31,1410.25,1.628499984741211
2011-04-01,1393.75,1.6272000074386597
2011-04-04,1384.0,1.6119999885559082
2011-04-05,1373.25,1.6052000522613525
2011-04-06,1376.5,1.6069999933242798
2011-04-07,1363.5,1.6146999597549438
2011-04-08,1392.25,1.592900037765503
2011-04-11,1368.5,1.5702999830245972
2011-04-12,1329.75,1.5771000385284424
2011-04-13,1333.5,1.590999960899353
2011-04-14,1331.0,1.5920000076293945
2011-04-18,1344.25,1.568600058555603
2011-04-19,1342.0,1.5889999866485596
2011-04-20,1357.75,1.5785000324249268
2011-04-21,1380.5,1.569000005722046
2011-04-25,1389.5,1.5613000392913818
2011-04-26,1382.75,1.5750000476837158
2011-04-27,1378.0,1.5644999742507935
2011-04-28,1350.25,1.566499948501587
2011-04-29,1392.75,1.586300015449524
2011-05-02,1390.25,1.5633000135421753
2011-05-03,1359.25,1.5765000581741333
2011-05-04,1350.5,1.587499976158142
2011-05-05,1319.75,1.6050000190734863
2011-05-06,1325.0,1.625
2011-05-09,1335.0,1.5994000434875488
2011-05-10,1340.0,1.6154999732971191
2011-05-11,1333.5,1.6069999933242798
2011-05-12,1345.25,1.6198999881744385
2011-05-13,1337.0,1.6165000200271606
2011-05-16,1326.5,1.635599970817566
2011-05-17,1341.0,1.6308000087738037
2011-05-18,1379.5,1.6180000305175781
2011-05-19,1379.5,1.611299991607666
2011-05-20,1380.25,1.6159000396728516
2011-05-23,1373.75,1.611299991607666
2011-05-24,1372.25,1.6373000144958496
2011-05-25,1377.0,1.628499984741211
2011-05-26,1384.75,1.6265000104904175
2011-05-27,1379.75,1.6223000288009644
2011-05-31,1376.0,1.593000054359436
2011-06-01,1386.25,1.5786999464035034
2011-06-02,1407.0,1.5920000076293945
2011-06-03,1414.5,1.5774999856948853
2011-06-06,1383.25,1.5687999725341797
2011-06-07,1394.0,1.580199956893921
2011-06-08,1401.5,1.5770000219345093
2011-06-09,1393.75,1.5815000534057617
2011-06-10,1387.25,1.586899995803833
2011-06-13,1382.75,1.5947999954223633
2011-06-14,1368.0,1.5889999866485596
2011-06-15,1368.0,1.5791000127792358
2011-06-16,1350.5,1.597000002861023
2011-06-17,1333.0,1.6060999631881714
2011-06-20,1335.75,1.5898000001907349
2011-06-21,1348.75,1.593999981880188
2011-06-22,1330.25,1.587499976158142
